"19","805105863","Hammond","Aaron","UG","4","JR","O239","A-","RE","aaron.g.hammond@fakeu.edu"
"20","508546959","Baker","Joshua","UG","4","JR","OTH8","C","RE","joshua.l.baker@fakeu.edu"
"21","522928990","Ross","Juan","UG","4","SO","OT39","B+","RE","juan.c.ross@fakeu.edu"
"22","949003221","Soto","Hannah","UG","4","SO","OTH8","C+","RE","hannah.j.soto@fakeu.edu"
"23","693340783","Brown","Emily","UG","4","SO","OT21","F","RE","emily.n.brown@fakeu.edu"
"24","440933878","Harris","Emily","UG","4","SO","O223","C","RE","emily.c.harris@fakeu.edu"
"25","668957251","Ortiz","Isaiah","UG","4","JR","OT88","A","RE","isaiah.l.ortiz@fakeu.edu"
"26","594888229","Nelson","Matthew","UG","4","SO","OT68","C","RE","matthew.e.nelson@fakeu.edu"
"27","439853784","Hull","Kevin","UG","4","SO","OT35","A","RE","kevin.v.hull@fakeu.edu"
"28","928501837","Lewis","Adrian","UG","4","SO","O174","C","RE","adrian.a.lewis@fakeu.edu"
"29","299768626","Burgess","Ethan","UG","4","SO","OTH8","B-","RE","ethan.c.burgess@fakeu.edu"
"30","792915194","Lamb","Zoe","UG","4","SO","O174","F","RE","zoe.m.lamb@fakeu.edu"
"31","487931128","Howard","Grace","UG","4","FR","O277","C+","RE","grace.v.howard@fakeu.edu"
"32","742685603","Mitchell","Vanessa","UG","4","FR","OT35","C+","RE","vanessa.k.mitchell@fakeu.edu"
"33","831569282","Walker","Joshua","UG","4","FR","OT16","C-","RE","joshua.m.walker@fakeu.edu"
"34","662191971","Sanchez","Daniel","UG","4","FR","OT13","F","RE","daniel.j.sanchez@fakeu.edu"
"35","143996277","Bennett","Ivan","UG","4","SO","OT13","A","RE","ivan.v.bennett@fakeu.edu"
"36","384996622","Williams","Ella","UG","4","FR","OT26","C-","RE","ella.e.williams@fakeu.edu"
"37","965014240","Brown","Aiden","UG","4","FR","OT48","C+","RE","aiden.e.brown@fakeu.edu"
"38","107089751","Wright","Nicholas","UG","4","SO","OT16","C+","RE","nicholas.a.wright1@fakeu.edu"
"39","969406055","Vinson","Jessica","GR","4","GM","O227","A-","RE","jessica.s.vinson@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"60378","201201","ABC","101","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Lecture","MWF","10:00 AM - 10:50 AM","MB5","1332"
"","Discussion","R","12:10 PM - 1:00 PM","LH1","110"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","483129353","Witt","Adam","UG","4","FR","ABC1","D-","RE","adam.e.witt@fakeu.edu"
"2","712333187","Moore","Grace","UG","4","SO","ABC1","B+","RE","grace.m.moore@fakeu.edu"
"3","812083312","Lane","Dominic","UG","4","FR","DEF1","A-","RE","dominic.e.lane@fakeu.edu"
"4","375065014","Brown","Faith","UG","4","FR","DEF1","D-","RE","faith.o.brown@fakeu.edu"
"5","686196285","Lawson","Luke","UG","4","FR","ABC1","B","RE","luke.n.lawson@fakeu.edu"
"6","359915856","Barnes","Isaac","UG","4","SR","O278","A","RE","isaac.b.barnes@fakeu.edu"
"7","790310107","Reyes","Anthony","UG","4","SR","O238","A","RE","anthony.m.reyes@fakeu.edu"
"8","415990249","Hickman","Joshua","UG","4","SO","O174","B","RE","joshua.a.hickman@fakeu.edu"
"9","961646601","White","Ryan","UG","4","SO","O223","A-","RE","ryan.b.white@fakeu.edu"
"10","651525922","Evans","Ella","UG","4","SO","OT40","A","RE","ella.x.evans@fakeu.edu"
"11","228398274","Robinson","Noah","UG","4","FR","OT20","F","RE","noah.j.robinson@fakeu.edu"
"12","920859821","Gonzalez","David","UG","4","FR","O180","Y","RE","david.d.gonzalez@fakeu.edu"
"13","130800878","Townsend","Julian","UG","4","FR","O283","F","RE","julian.a.townsend@fakeu.edu"
"14","328492579","Haley","Nathaniel","UG","4","SR","O160","A","RE","nathaniel.a.haley@fakeu.edu"
"15","264226976","Whitehead","Zoey","UG","4","SR","OT21","C+","RE","zoey.b.whitehead@fakeu.edu"
"16","631147682","Hamilton","Alex","UG","4","SR","O174","A","RE","alex.r.hamilton@fakeu.edu"
"17","472825798","Cummings","Jocelyn","GR","4","GM","OT99","C-","RE","jocelyn.m.cummings@fakeu.edu"
"18","400291651","Hanson","Wyatt","UG","4","SR","O174","A","RE","wyatt.q.hanson@fakeu.edu"
"19","178306693","Mercado","Genesis","UG","4","FR","ABC2","A","RE","genesis.c.mercado@fakeu.edu"
"20","459277037","Dawson","Kevin","UG","4","SR","OTH8","B","RE","kevin.d.dawson@fakeu.edu"
"21","589447129","Padilla","Joshua","UG","4","JR","OTH8","F","RE","joshua.m.padilla@fakeu.edu"
"22","171195377","Jones","Alexander","UG","4","JR","OT35","B-","RE","alexander.m.jones@fakeu.edu"
"23","149367667","Cook","Joseph","UG","4","SR","OT77","D-","RE","joseph.p.cook@fakeu.edu"
"24","638664179","Simpson","Zachary","UG","4","SO","OT67","F","RE","zachary.m.simpson@fakeu.edu"
"25","997975308","Dyer","Ella","UG","4","SO","O174","B","RE","ella.v.dyer@fakeu.edu"
"26","785673917","Davis","Mason","UG","4","SO","OTH8","C+","RE","mason.e.davis@fakeu.edu"
"27","899641007","Lyons","Samuel","UG","4","SO","OT39","A","RE","samuel.n.lyons@fakeu.edu"
"28","447103883","Haney","Gabriel","UG","4","SO","OTH8","B+","RE","gabriel.j.haney@fakeu.edu"
"29","458838034","Oliver","Nicole","UG","4","SO","OTH8","B","RE","nicole.a.oliver@fakeu.edu"
"30","798733258","Schmidt","Mia","UG","4","SO","OT42","B+","RE","mia.m.schmidt@fakeu.edu"
"31","397220108","Ray","Robert","UG","4","JR","OTH8","B-","RE","robert.z.ray@fakeu.edu"
"32","553490431","Phillips","Daniel","UG","4","SO","OT64","B-","RE","daniel.s.phillips@fakeu.edu"
"33","153412047","Carver","Lily","UG","4","FR","OT21","A-","RE","lily.v.carver@fakeu.edu"
"34","978028536","Hensley","David","UG","4","FR","O282","B+","RE","david.f.hensley@fakeu.edu"
"35","849582922","Wells","Christopher","UG","4","FR","OT10","F","RE","christopher.m.wells@fakeu.edu"
"36","977357304","Martinez","David","UG","4","FR","OTH8","C-","RE","david.a.martinez1@fakeu.edu"
"37","733530632","Collins","Christopher","UG","4","FR","O174","C-","RE","christopher.j.collins@fakeu.edu"
"38","265509064","Aguirre","Emily","UG","4","SO","OT93","B-","RE","emily.a.aguirre@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"49415","201201","ABC","101","3","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Lecture","MWF","10:00 AM - 10:50 AM","MB5","1332"
"","Discussion","F","3:10 PM - 4:00 PM","LH4","41"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","342727684","Flowers","Dylan","UG","4","FR","DEF2","F","RE","dylan.l.flowers@fakeu.edu"
"2","825854715","Patterson","Ruby","GR","4","GM","O102","A","RE","ruby.k.patterson@fakeu.edu"
"3","517943784","Phillips","Noah","UG","4","FR","OT26","C-","RE","noah.r.phillips@fakeu.edu"
"4","795604872","Miller","Santiago","UG","4","SO","OT20","A-","RE","santiago.m.miller@fakeu.edu"
"5","205453415","Hill","Matthew","UG","4","FR","OT41","F","RE","matthew.l.hill@fakeu.edu"
"6","854185173","Phillips","Xavier","UG","4","SR","O240","B-","RE","xavier.j.phillips1@fakeu.edu"
"7","896418275","Brown","Jose","UG","4","JR","OT37","C-","RE","jose.e.brown@fakeu.edu"
"8","164062532","Johnston","Mia","UG","4","SO","O108","D","RE","mia.a.johnston@fakeu.edu"
"9","177297300","Mclean","Amy","UG","4","SO","O174","A","RE","amy.j.mclean@fakeu.edu"
"10","868046731","Curtis","Julia","UG","4","SO","O232","C-","RE","julia.t.curtis@fakeu.edu"
"11","991690610","Lee","Camila","UG","4","FR","OT20","B-","RE","camila.j.lee@fakeu.edu"
"12","468473654","Berg","Madison","UG","4","FR","O239","C+","RE","madison.d.berg@fakeu.edu"
"13","278985626","Scott","Jose","UG","4","SO","O223","A-","RE","jose.b.scott@fakeu.edu"
"14","972125082","Jones","Mia","UG","4","FR","OTH8","B+","RE","mia.x.jones@fakeu.edu"
"15","837372680","Cross","Layla","UG","4","SO","O223","D","RE","layla.s.cross@fakeu.edu"
"16","940793894","Simpson","Delilah","UG","4","FR","O223","Y","RE","delilah.l.simpson@fakeu.edu"
"17","274693452","Rodriguez","Ava","UG","4","FR","O181","C","RE","ava.j.rodriguez@fakeu.edu"
"18","204199831","King","Violet","UG","4","SO","O238","B","RE","violet.v.king@fakeu.edu"
"19","270175494","Day","Kevin","UG","4","FR","OT16","B-","RE","kevin.g.day@fakeu.edu"
"20","506933680","Johnson","Andres","UG","4","FR","O232","A","RE","andres.a.johnson@fakeu.edu"
"21","728612446","Townsend","Robert","UG","4","FR","OT64","C","RE","robert.a.townsend@fakeu.edu"
"22","321960581","Cantu","Diego","UG","4","FR","OT26","F","RE","diego.c.cantu@fakeu.edu"
"23","803456218","Buckley","Valentina","UG","4","FR","O237","F","RE","valentina.s.buckley@fakeu.edu"
"24","308490009","Macias","Daisy","UG","4","FR","OT68","A","RE","daisy.m.macias@fakeu.edu"
"25","439650656","Rodriguez","Avery","UG","4","FR","O277","C","RE","avery.s.rodriguez@fakeu.edu"
"26","363515103","Phillips","Emily","UG","4","SO","O238","B","RE","emily.t.phillips@fakeu.edu"
"27","560167238","Bell","Christian","UG","4","FR","OT35","B","RE","christian.m.bell@fakeu.edu"
"28","951011904","Vaughn","Thomas","UG","4","FR","O223","A","RE","thomas.n.vaughn@fakeu.edu"
"29","105250141","Brown","Logan","UG","4","SO","OT35","A","RE","logan.j.brown1@fakeu.edu"
"30","900931081","Gallagher","Genesis","UG","4","FR","OT13","B","RE","genesis.n.gallagher@fakeu.edu"
"31","172486302","Morgan","Andrew","UG","4","FR","O239","A-","RE","andrew.r.morgan@fakeu.edu"
"32","562177492","Beasley","Jocelyn","UG","4","FR","OT20","A-","RE","jocelyn.t.beasley@fakeu.edu"
"33","152185789","Compton","Kayla","UG","4","FR","OT13","D-","RE","kayla.a.compton@fakeu.edu"
"34","278468814","Brooks","Damian","UG","4","FR","OT39","B+","RE","damian.g.brooks@fakeu.edu"
"35","129965503","Garcia","Kaylee","UG","4","FR","OT35","C+","RE","kaylee.k.garcia@fakeu.edu"
"36","690604847","Schroeder","Noah","UG","4","FR","OTH8","B","RE","noah.c.schroeder@fakeu.edu"
"37","981830710","Hood","Nathan","UG","4","JR","OT20","F","RE","nathan.j.hood@fakeu.edu"
"38","296652390","Walker","Michael","UG","4","SO","OT42","F","RE","michael.a.walker@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"52410","201201","ABC","101","4","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Lecture","MWF","10:00 AM - 10:50 AM","MB5","1332"
"","Discussion","W","4:10 PM - 5:00 PM","LH2","26"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","288675560","Huff","Ethan","UG","4","FR","DEF2","B-","RE","ethan.a.huff@fakeu.edu"
"2","231640707","Webster","Daniel","UG","4","FR","DEF1","D","RE","daniel.j.webster@fakeu.edu"
"3","219422962","Grant","Ethan","UG","4","SO","OT42","B","RE","ethan.m.grant@fakeu.edu"
"4","992698755","Chavez","Wyatt","UG","4","FR","OT21","B-","RE","wyatt.g.chavez@fakeu.edu"
"5","292063968","Adkins","Olivia","UG","4","SR","O238","A","RE","olivia.h.adkins@fakeu.edu"
"6","577182563","Steele","Santiago","UG","4","SO","OT10","A-","RE","santiago.m.steele@fakeu.edu"
"7","198470936","Hill","Jacob","UG","4","JR","OTH8","D+","RE","jacob.k.hill@fakeu.edu"
"8","306575965","Valdez","Jayden","UG","4","JR","OTH8","D+","RE","jayden.s.valdez1@fakeu.edu"
"9","928380947","Martin","Dominic","UG","4","JR","OTH8","C-","RE","dominic.n.martin@fakeu.edu"
"10","942223490","Hernandez","Adam","UG","4","JR","O278","A-","RE","adam.j.hernandez@fakeu.edu"
"11","401659056","Morris","Abigail","UG","4","SO","OT39","B+","RE","abigail.j.morris@fakeu.edu"
"12","729133378","West","Tyler","UG","4","JR","O224","A","RE","tyler.h.west@fakeu.edu"
"13","151928420","Ford","Genesis","UG","4","SO","OT21","B-","RE","genesis.z.ford@fakeu.edu"
"14","684792830","Chan","Isabella","UG","4","SO","OT55","A","RE","isabella.l.chan@fakeu.edu"
"15","577840668","Anderson","Avery","UG","4","SO","O239","F","RE","avery.n.anderson@fakeu.edu"
"16","703647033","Santos","Elizabeth","UG","4","SO","OT93","B-","RE","elizabeth.i.santos@fakeu.edu"
"17","445633914","Gay","Sophia","UG","4","SO","OTH8","B","RE","sophia.m.gay@fakeu.edu"
"18","461584294","Guthrie","Gianna","UG","4","SO","OT39","A-","RE","gianna.c.guthrie@fakeu.edu"
"19","178019044","Smith","Sophia","UG","4","FR","O268","B+","RE","sophia.a.smith1@fakeu.edu"
"20","626606191","Ferguson","Emily","UG","4","FR","O240","A-","RE","emily.i.ferguson@fakeu.edu"
"21","826087696","Garcia","Matthew","UG","4","SO","OT16","B+","RE","matthew.g.garcia@fakeu.edu"
"22","233942376","Edwards","Mia","UG","4","SO","OT64","A","RE","mia.n.edwards@fakeu.edu"
"23","370941909","Simmons","Alex","UG","4","SO","O174","A-","RE","alex.s.simmons@fakeu.edu"
"24","968751262","Hardy","Julian","UG","4","FR","OT39","A","RE","julian.i.hardy@fakeu.edu"
"25","438573895","Bailey","Isaac","UG","4","FR","OT39","A","RE","isaac.o.bailey@fakeu.edu"
"26","380675985","Sanchez","Adrian","UG","4","SO","O239","B","RE","adrian.j.sanchez@fakeu.edu"
"27","484259050","Jones","Diego","UG","4","FR","O223","A","RE","diego.a.jones2@fakeu.edu"
"28","402806641","Buckley","Vanessa","UG","4","FR","OT20","B","RE","vanessa.o.buckley@fakeu.edu"
"29","396422489","Taylor","Adrian","UG","4","FR","O257","A","RE","adrian.r.taylor@fakeu.edu"
"30","888833160","Castillo","Andrea","UG","4","SO","O224","B","RE","andrea.e.castillo@fakeu.edu"
"31","811969003","Sanders","Eli","UG","4","SO","O223","B","RE","eli.n.sanders@fakeu.edu"
"32","607193805","Berry","Valeria","UG","4","SO","OT94","A","RE","valeria.s.berry@fakeu.edu"
"33","354439090","Sweeney","Melody","UG","4","FR","OT39","B+","RE","melody.l.sweeney@fakeu.edu"
"34","411393562","Gonzalez","Mason","UG","4","SO","O174","A-","RE","mason.v.gonzalez1@fakeu.edu"
"35","661362448","Waters","Logan","UG","4","FR","O240","C+","RE","logan.x.waters@fakeu.edu"
"36","567397899","Thomas","Samuel","UG","4","SO","OT20","A-","RE","samuel.r.thomas@fakeu.edu"
"37","733564857","King","Nathan","UG","4","FR","OT16","B-","RE","nathan.l.king@fakeu.edu"
"38","892251103","Banks","Angel","UG","4","FR","OT16","A-","RE","angel.a.banks@fakeu.edu"
"39","976381158","Le","Isaac","UG","4","SO","OT37","B+","RE","isaac.m.le@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"22134","201201","ABC","101","5","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Lecture","MWF","10:00 AM - 10:50 AM","MB5","1332"
"","Discussion","M","12:10 PM - 1:00 PM","LH1","122"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","808648918","Parks","Victor","UG","4","FR","DEF2","C","RE","victor.b.parks@fakeu.edu"
"2","754148492","Austin","Jesse","GR","4","GM","O285","NG","RE","jesse.v.austin@fakeu.edu"
"3","982262417","Salazar","Diego","UG","4","SR","O104","A","RE","diego.a.salazar@fakeu.edu"
"4","400509526","Bailey","Samantha","UG","4","FR","OT21","C-","RE","samantha.a.bailey@fakeu.edu"
"5","201968539","Brooks","Dylan","UG","4","FR","OT39","A-","RE","dylan.a.brooks@fakeu.edu"
"6","322728960","Carpenter","Damian","UG","4","SR","OTH8","D","RE","damian.d.carpenter@fakeu.edu"
"7","547126476","Mccoy","Jayden","UG","4","FR","OT10","F","RE","jayden.a.mccoy@fakeu.edu"
"8","660758097","Reyes","Eli","UG","4","SR","OTH7","B","RE","eli.y.reyes@fakeu.edu"
"9","791608708","Gomez","Zoe","UG","4","SR","O104","F","RE","zoe.n.gomez@fakeu.edu"
"10","445672329","Williams","Ian","UG","4","SR","O257","A","RE","ian.i.williams@fakeu.edu"
"11","976431860","Terrell","Anthony","UG","4","SR","O270","B","RE","anthony.g.terrell@fakeu.edu"
"12","198617045","Powers","Mia","UG","4","JR","OT39","A-","RE","mia.b.powers@fakeu.edu"
"13","125713879","Strickland","Carlos","UG","4","JR","O240","C+","RE","carlos.a.strickland@fakeu.edu"
"14","134942049","Knight","Dylan","UG","4","JR","O174","C","RE","dylan.b.knight@fakeu.edu"
"15","142897967","Lee","Sebastian","UG","4","JR","O239","A","RE","sebastian.g.lee@fakeu.edu"
"16","885196081","Mccarthy","Ximena","UG","4","SO","O174","A-","RE","ximena.m.mccarthy@fakeu.edu"
"17","368265099","Dean","Angela","UG","4","JR","OT56","B-","RE","angela.j.dean@fakeu.edu"
"18","615533325","Sullivan","Amelia","UG","4","SO","O174","B","RE","amelia.f.sullivan@fakeu.edu"
"19","881065958","Butler","Isabella","UG","4","SO","O238","C-","RE","isabella.a.butler@fakeu.edu"
"20","920358629","Prince","Nathan","UG","4","SO","O174","A-","RE","nathan.g.prince@fakeu.edu"
"21","226909182","Hall","Dylan","UG","4","SO","OT40","D","RE","dylan.k.hall@fakeu.edu"
"22","726563039","Hood","Samantha","UG","4","SO","OT39","B","RE","samantha.e.hood@fakeu.edu"
"23","789738204","Mcdowell","William","UG","4","FR","OT26","C","RE","william.a.mcdowell@fakeu.edu"
"24","645721440","Thompson","Jade","UG","4","FR","OT21","B","RE","jade.a.thompson@fakeu.edu"
"25","103358963","Parker","William","UG","4","FR","O223","A","RE","william.d.parker@fakeu.edu"
"26","829057609","Steele","Jacob","UG","4","FR","O239","B-","RE","jacob.h.steele@fakeu.edu"
"27","424582948","Henson","Savannah","UG","4","FR","O239","D+","RE","savannah.l.henson@fakeu.edu"
"28","747118169","Wilson","Evan","UG","4","FR","OT21","C+","RE","evan.l.wilson1@fakeu.edu"
"29","290556923","Horn","Ashley","UG","4","FR","O225","B","RE","ashley.a.horn@fakeu.edu"
"30","876217922","Bowen","Evelyn","UG","4","FR","O223","B+","RE","evelyn.b.bowen@fakeu.edu"
"31","282483574","Hoffman","Jack","UG","4","FR","O248","A","RE","jack.s.hoffman@fakeu.edu"
"32","503153840","Smith","Austin","UG","4","FR","OT16","A","RE","austin.d.smith@fakeu.edu"
"33","658832317","Parker","Faith","UG","4","FR","OT77","A","RE","faith.e.parker@fakeu.edu"
"34","673322341","Alexander","Christopher","UG","4","SO","O223","B","RE","christopher.s.alexander@fakeu.edu"
"35","492989825","Johnson","Valeria","UG","4","SR","O229","B-","RE","valeria.c.johnson@fakeu.edu"
"36","114086981","Smith","Matthew","UG","0","SR","OT21","WN","RA","matthew.m.smith@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"31130","201201","ABC","102","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Parsons, Mia E.","Lecture","TR","4:40 PM - 6:00 PM","LH5","22"
"","Discussion Laboratory","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","416026955","Nicholson","Mia","UG","4","SR","OT13","B","RE","mia.k.nicholson@fakeu.edu"
"2","230085592","Crawford","Olivia","UG","4","SR","ABC2","A+","RE","olivia.d.crawford@fakeu.edu"
"3","313994355","Duncan","Juan","UG","4","SR","ABC1","A-","RE","juan.n.duncan@fakeu.edu"
"4","326558792","Branch","Logan","UG","4","SR","O239","A","RE","logan.v.branch@fakeu.edu"
"5","829043584","Mccoy","Adrian","UG","4","SR","OT40","A-","RE","adrian.k.mccoy@fakeu.edu"
"6","492989825","Johnson","Valeria","UG","4","SR","O229","B-","RE","valeria.c.johnson@fakeu.edu"
"7","928056879","Hall","Brayden","UG","4","SR","O232","C","RE","brayden.j.hall@fakeu.edu"
"8","639998307","Fisher","Gianna","UG","4","JR","O232","B-","RE","gianna.z.fisher@fakeu.edu"
"9","116321598","Hoffman","Victor","UG","4","SO","O174","F","RE","victor.d.hoffman@fakeu.edu"
"10","721733208","Moss","Jasmine","UG","4","FR","OT35","C+","RE","jasmine.j.moss@fakeu.edu"
"11","705847370","Patterson","Ella","UG","4","FR","OTH8","B-","RE","ella.i.patterson@fakeu.edu"
"12","777679850","Beard","Alexander","UG","4","SO","OT16","B+","RE","alexander.l.beard@fakeu.edu"
"13","170521907","Johnson","Ava","UG","4","FR","O232","B","RE","ava.l.johnson@fakeu.edu"
"14","478005485","Davenport","Nathan","UG","4","SO","O232","A+","RE","nathan.s.davenport@fakeu.edu"
"15","412330103","Molina","Michelle","UG","4","SO","OT40","A","RE","michelle.j.molina@fakeu.edu"
"16","561535480","Wright","Ashley","UG","4","SO","O240","B","RE","ashley.a.wright@fakeu.edu"
"17","278612449","Williams","Sophia","GR","4","GM","O259","A-","RE","sophia.a.williams2@fakeu.edu"
"18","111469330","Morrow","Emily","UG","4","SR","O232","C-","RE","emily.k.morrow@fakeu.edu"
"19","839903905","Hamilton","Jayden","UG","4","SR","OT62","B+","RE","jayden.l.hamilton@fakeu.edu"
"20","954506484","Johnson","Aaron","UG","4","SO","ABC2","A-","RE","aaron.j.johnson@fakeu.edu"
"21","953814539","Hayes","Sophia","UG","4","SO","OT40","B","RE","sophia.k.hayes@fakeu.edu"
"22","928046683","Swanson","Audrey","UG","4","FR","OT26","A","RE","audrey.e.swanson@fakeu.edu"
"23","990580616","Copeland","Samuel","UG","4","FR","OT13","B+","RE","samuel.a.copeland@fakeu.edu"
"24","921080627","Webb","Sophia","UG","4","SO","ABC1","A-","RE","sophia.j.webb@fakeu.edu"
"25","357174386","Walker","Miguel","UG","4","JR","O238","A","RE","miguel.j.walker@fakeu.edu"
"26","821123650","Johnson","Sophia","UG","4","FR","O239","A-","RE","sophia.a.johnson2@fakeu.edu"
"27","950196655","Scott","Violet","UG","4","FR","OT40","C","RE","violet.z.scott@fakeu.edu"
"28","360727637","Davis","Michael","UG","4","SO","O238","A","RE","michael.o.davis@fakeu.edu"
"29","608154056","Smith","Christian","UG","4","SR","ABC1","A","RE","christian.c.smith@fakeu.edu"
"30","161522646","Johnson","Eli","UG","4","SR","ABC1","A+","RE","eli.n.johnson@fakeu.edu"
"31","761057525","Hernandez","Alexander","UG","4","SR","ABC1","A+","RE","alexander.j.hernandez@fakeu.edu"
"32","833936899","Brown","Evelyn","UG","4","SR","O174","C+","RE","evelyn.l.brown@fakeu.edu"
"33","464337054","Ward","Allison","UG","4","JR","O174","D","RE","allison.i.ward@fakeu.edu"
"34","625702508","Walters","Caleb","UG","4","FR","O232","A+","RE","caleb.e.walters@fakeu.edu"
"35","100766772","Benson","Noah","GR","4","GM","OT99","A","RE","noah.a.benson@fakeu.edu"
"36","200424187","Craig","Jayden","UG","4","JR","O103","C-","RE","jayden.m.craig@fakeu.edu"
"37","733035421","Jackson","Jack","UG","4","SR","ABC1","A+","RE","jack.g.jackson@fakeu.edu"
"38","957167002","Ortiz","Christopher","UG","4","SR","O174","B-","RE","christopher.k.ortiz@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"16804","201201","ABC","103","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Laboratory","M","9:00 AM - 12:00 PM","MB5","1348"
"","Lecture","MWF","2:10 PM - 3:00 PM","TB4","108"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","380469720","Gray","Abigail","UG","4","SR","O239","B","RE","abigail.n.gray@fakeu.edu"
"2","996158921","Shields","Emma","UG","4","SR","O238","B","RE","emma.e.shields@fakeu.edu"
"3","466597013","Dyer","Joseph","UG","4","JR","O190","A-","RE","joseph.j.dyer@fakeu.edu"
"4","646486137","Dunn","Ethan","UG","4","SO","OTH8","A","RE","ethan.z.dunn@fakeu.edu"
"5","637101705","Dale","Levi","UG","4","JR","O232","B","RE","levi.u.dale@fakeu.edu"
"6","426567896","Sutton","Andrea","UG","4","SO","OTH8","A-","RE","andrea.l.sutton@fakeu.edu"
"7","226413096","Gray","Nicholas","UG","4","JR","O181","A","RE","nicholas.n.gray@fakeu.edu"
"8","890455184","Henson","Logan","UG","4","SO","O174","B","RE","logan.j.henson@fakeu.edu"
"9","410901527","Hoover","Elijah","UG","4","SO","O181","A-","RE","elijah.a.hoover@fakeu.edu"
"10","901071034","Gonzales","Scarlett","UG","4","JR","O190","A","RE","scarlett.d.gonzales@fakeu.edu"
