"21","159859707","Martin","Camila","UG","4","SO","OTH8","C+","RE","camila.s.martin@fakeu.edu"
"22","283750142","Santos","Jackson","UG","4","JR","O265","B","RE","jackson.b.santos@fakeu.edu"
"23","495707002","Rogers","Alexander","UG","4","SO","OT16","B","RE","alexander.j.rogers@fakeu.edu"
"24","192197902","Wheeler","Brayden","UG","4","FR","OT49","A","RE","brayden.c.wheeler@fakeu.edu"
"25","723216689","Ruiz","Liam","UG","4","FR","O174","A-","RE","liam.a.ruiz@fakeu.edu"
"26","384276525","Meyers","Brandon","UG","4","FR","O174","B","RE","brandon.b.meyers@fakeu.edu"
"27","544604243","Johnson","Isabella","UG","4","SO","OT64","B","RE","isabella.l.johnson@fakeu.edu"
"28","393458928","Shepherd","Brianna","UG","4","SO","OT39","A","RE","brianna.c.shepherd@fakeu.edu"
"29","592846375","Baker","Charlotte","UG","4","SO","O232","C","RE","charlotte.s.baker@fakeu.edu"
"30","962067636","Curtis","Henry","UG","4","SO","OT39","C","RE","henry.o.curtis@fakeu.edu"
"31","552951799","Chapman","Wyatt","UG","4","SO","OT20","B-","RE","wyatt.a.chapman@fakeu.edu"
"32","572862878","Anderson","Michael","UG","4","SO","O282","A-","RE","michael.c.anderson@fakeu.edu"
"33","956317714","Petty","Ximena","UG","4","FR","O223","B","RE","ximena.e.petty@fakeu.edu"
"34","392280624","Moore","Alexander","UG","4","SO","OT16","A-","RE","alexander.a.moore@fakeu.edu"
"35","330924589","Lamb","Matthew","UG","4","SO","O134","C+","RE","matthew.g.lamb@fakeu.edu"
"36","124720943","Pierce","Jacob","UG","4","SO","OT39","C-","RE","jacob.c.pierce@fakeu.edu"
"37","368220783","Duran","Joshua","UG","4","FR","OT16","A-","RE","joshua.j.duran@fakeu.edu"
"38","272908615","Shaw","Miguel","UG","4","FR","OT67","B","RE","miguel.e.shaw@fakeu.edu"
"39","645227753","Marquez","Savannah","UG","4","SO","O224","F","RE","savannah.c.marquez@fakeu.edu"
"40","480993121","Holloway","Levi","UG","4","FR","O223","A","RE","levi.a.holloway@fakeu.edu"
"41","228457701","Contreras","Luis","UG","4","FR","O262","B","RE","luis.j.contreras@fakeu.edu"
"42","933828041","Thompson","Lily","UG","4","SR","O240","C+","RE","lily.x.thompson@fakeu.edu"
"43","211425813","West","Olivia","UG","4","FR","OT37","C-","RE","olivia.h.west@fakeu.edu"
"44","877854570","Stewart","Nathaniel","UG","4","SR","O174","B-","RE","nathaniel.d.stewart@fakeu.edu"
"45","258981901","Cook","Carlos","UG","4","SO","OT16","F","RE","carlos.i.cook@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"43231","201203","ABC","101","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Discussion","W","9:00 AM - 9:50 AM","MB5","1324"
"","Lecture","MWF","10:00 AM - 10:50 AM","LH4","45"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","240921875","Johnson","Aaliyah","UG","4","SO","ABC1","B","RE","aaliyah.a.johnson@fakeu.edu"
"2","519435954","Walker","Emily","UG","4","FR","ABC2","C","RE","emily.a.walker@fakeu.edu"
"3","937205927","Bates","Sophia","UG","4","SR","DEF1","A","RE","sophia.d.bates@fakeu.edu"
"4","951200465","Marquez","Daniel","UG","4","FR","DEF2","D","RE","daniel.e.marquez@fakeu.edu"
"5","398542992","Noble","Sophia","UG","4","SO","OT26","A-","RE","sophia.g.noble@fakeu.edu"
"6","693273429","Evans","Jordan","UG","4","SR","O238","C","RE","jordan.a.evans1@fakeu.edu"
"7","616520052","Perry","Riley","UG","4","SO","OT16","B","RE","riley.l.perry@fakeu.edu"
"8","953416926","Nichols","Ethan","UG","4","SR","O160","B","RE","ethan.a.nichols@fakeu.edu"
"9","252859123","Vasquez","Charlotte","UG","4","SR","O239","A","RE","charlotte.l.vasquez@fakeu.edu"
"10","967707577","Fowler","Caleb","UG","4","SR","OT21","B","RE","caleb.j.fowler@fakeu.edu"
"11","676195652","Adams","Jesse","UG","4","SR","O238","B+","RE","jesse.a.adams@fakeu.edu"
"12","711422674","Sanders","Joshua","UG","4","SR","O239","F","RE","joshua.i.sanders@fakeu.edu"
"13","724896130","Reynolds","Zachary","UG","4","SR","O240","C","RE","zachary.k.reynolds@fakeu.edu"
"14","303999793","Williams","Gabriel","UG","4","SR","O268","C","RE","gabriel.c.williams1@fakeu.edu"
"15","333516493","Norton","Ivan","UG","4","JR","O240","C","RE","ivan.a.norton@fakeu.edu"
"16","799796440","Nguyen","Brianna","UG","4","JR","OT41","B","RE","brianna.z.nguyen@fakeu.edu"
"17","590891711","Osborn","Alex","UG","4","JR","O160","C","RE","alex.e.osborn@fakeu.edu"
"18","213391517","Brewer","Ian","UG","4","SR","O240","A","RE","ian.a.brewer@fakeu.edu"
"19","835630934","Smith","Evelyn","UG","4","SR","O240","C+","RE","evelyn.a.smith2@fakeu.edu"
"20","420588246","Hayes","Chloe","UG","4","JR","OT21","C","RE","chloe.n.hayes@fakeu.edu"
"21","733567150","Hunt","Aiden","UL","4","UL","OT94","A-","RE","aiden.h.hunt@fakeu.edu"
"22","454394562","Carney","Jayden","UG","4","JR","O239","A","RE","jayden.r.carney@fakeu.edu"
"23","653579296","Thompson","Ian","UG","4","SR","OT55","F","RE","ian.j.thompson@fakeu.edu"
"24","853766104","Wade","Dylan","UG","4","SO","OTH8","C-","RE","dylan.m.wade@fakeu.edu"
"25","945249589","Hartman","David","UG","4","SO","OT21","C","RE","david.l.hartman@fakeu.edu"
"26","700924790","Walker","Ella","UG","4","SO","O174","D","RE","ella.p.walker@fakeu.edu"
"27","696914090","Morris","Anthony","UG","4","JR","O251","B+","RE","anthony.p.morris@fakeu.edu"
"28","513495728","Taylor","Dylan","UG","4","SO","OT60","B","RE","dylan.b.taylor@fakeu.edu"
"29","586525321","Lee","Angela","UG","4","SO","OT35","B-","RE","angela.j.lee@fakeu.edu"
"30","140991703","Johnson","Daniel","UG","4","FR","O174","B-","RE","daniel.x.johnson@fakeu.edu"
"31","796160076","Parker","Natalie","UG","4","SO","OT68","B-","RE","natalie.e.parker@fakeu.edu"
"32","803643617","Weaver","Justin","UG","4","SO","OT20","C+","RE","justin.m.weaver@fakeu.edu"
"33","578960661","Gardner","Alexandra","UG","4","SO","O174","B","RE","alexandra.c.gardner@fakeu.edu"
"34","807234947","Taylor","Jack","UG","4","SR","O278","A-","RE","jack.j.taylor@fakeu.edu"
"35","803456218","Buckley","Valentina","UG","4","FR","OT39","A-","RE","valentina.s.buckley@fakeu.edu"
"36","546249557","Brown","Daniel","UG","4","SO","OT21","A-","RE","daniel.z.brown@fakeu.edu"
"37","327308098","Saunders","Nathan","UG","4","FR","OT10","C","RE","nathan.m.saunders@fakeu.edu"
"38","986948025","Stevens","James","UG","4","SO","O237","F","RE","james.b.stevens@fakeu.edu"
"39","340588884","Marshall","John","UG","4","SO","OT64","C","RE","john.j.marshall@fakeu.edu"
"40","369323785","Curtis","Melody","UG","4","SO","OTH8","C","RE","melody.f.curtis@fakeu.edu"
"41","866464129","Rodriguez","Ethan","UG","4","SR","O268","C","RE","ethan.s.rodriguez@fakeu.edu"
"42","358398868","Ramirez","Henry","UG","4","SR","O160","B+","RE","henry.d.ramirez@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"56035","201203","ABC","101","3","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Lecture","MWF","10:00 AM - 10:50 AM","LH4","45"
"","Discussion","F","1:10 PM - 2:00 PM","LH2","28"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","167617718","Williams","Daniel","UG","4","FR","DEF2","B","RE","daniel.a.williams2@fakeu.edu"
"2","949673467","Shepard","Kimberly","UG","4","SO","DEF2","B","RE","kimberly.m.shepard@fakeu.edu"
"3","723544813","Simon","Luke","UG","4","FR","DEF1","F","RE","luke.v.simon@fakeu.edu"
"4","838858924","King","Jacob","GR","4","GM","O102","A","RE","jacob.g.king@fakeu.edu"
"5","993509487","Miller","Lucas","UG","4","SR","O243","C-","RE","lucas.d.miller@fakeu.edu"
"6","429853318","Smith","Natalie","GR","4","GM","O102","A+","RE","natalie.m.smith@fakeu.edu"
"7","402289782","Wong","Sarah","GR","4","GM","O227","A","RE","sarah.s.wong@fakeu.edu"
"8","103615451","Wolf","Bryan","GR","4","GM","O227","A","RE","bryan.y.wolf@fakeu.edu"
"9","598715051","Hardin","Abigail","UG","4","SO","O160","A","RE","abigail.m.hardin@fakeu.edu"
"10","565376611","Bartlett","Hunter","UG","4","FR","O239","B","RE","hunter.l.bartlett@fakeu.edu"
"11","404966372","Burton","Victoria","UG","4","SR","OT60","B","RE","victoria.a.burton@fakeu.edu"
"12","254686665","Hatfield","Jordan","UG","4","SR","OT60","B+","RE","jordan.a.hatfield@fakeu.edu"
"13","726500692","Butler","Claire","UG","4","SR","OTH8","C-","RE","claire.a.butler@fakeu.edu"
"14","818869902","Bennett","Elias","GR","4","GM","O102","A-","RE","elias.n.bennett@fakeu.edu"
"15","409857445","Harper","Camila","UG","4","JR","OT21","A-","RE","camila.m.harper@fakeu.edu"
"16","975489251","O'donnell","Noah","UG","4","SR","OTH7","A","RE","noah.h.o'donnell@fakeu.edu"
"17","809535492","Williams","Aria","UG","4","JR","O160","D","RE","aria.j.williams2@fakeu.edu"
"18","962483239","King","Steven","UG","4","SR","OT39","C+","RE","steven.a.king@fakeu.edu"
"19","328478846","Baker","Lily","UG","4","JR","O278","A","RE","lily.z.baker@fakeu.edu"
"20","321352321","Carson","Avery","UG","4","JR","OT39","B","RE","avery.a.carson@fakeu.edu"
"21","129006396","Barrera","Mateo","UG","4","SR","OT39","B+","RE","mateo.a.barrera@fakeu.edu"
"22","718017654","Smith","Ava","UG","4","SR","O160","B","RE","ava.t.smith@fakeu.edu"
"23","912804499","Jones","Brooklyn","UG","4","JR","OTH8","C","RE","brooklyn.m.jones1@fakeu.edu"
"24","704214478","Yates","Khloe","UG","4","JR","O174","F","RE","khloe.a.yates@fakeu.edu"
"25","471367611","Meyer","Jordan","UG","4","SO","O239","F","RE","jordan.a.meyer@fakeu.edu"
"26","819747678","Phillips","Alexis","UG","4","JR","O160","C+","RE","alexis.n.phillips@fakeu.edu"
"27","742668456","Anderson","Emma","UG","4","JR","O174","A","RE","emma.a.anderson@fakeu.edu"
"28","785738441","Price","Emma","UG","4","JR","OTH8","B","RE","emma.a.price@fakeu.edu"
"29","534294392","Best","Ayden","UG","4","JR","O112","A-","RE","ayden.e.best@fakeu.edu"
"30","875944175","Wagner","Andrea","UG","4","SO","O237","B+","RE","andrea.v.wagner@fakeu.edu"
"31","609791939","Lawson","Michael","UG","4","JR","OT39","A-","RE","michael.n.lawson@fakeu.edu"
"32","922926960","Wright","John","UG","4","SO","OTH7","C-","RE","john.h.wright@fakeu.edu"
"33","746992795","Wright","Benjamin","UG","4","FR","O223","A","RE","benjamin.m.wright1@fakeu.edu"
"34","110024150","Holland","Adrian","UG","4","FR","OT26","A-","RE","adrian.s.holland@fakeu.edu"
"35","913904723","Norman","Destiny","UG","4","SO","OT39","A","RE","destiny.s.norman@fakeu.edu"
"36","920663484","Wright","Evelyn","UG","4","SO","O239","A","RE","evelyn.n.wright@fakeu.edu"
"37","263406445","Davis","Owen","UG","4","SO","O174","B","RE","owen.j.davis@fakeu.edu"
"38","245946344","Gay","David","UG","4","SO","O257","B","RE","david.l.gay@fakeu.edu"
"39","658701615","Perry","Isaac","UG","4","FR","OT25","C","RE","isaac.j.perry@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"62054","201203","ABC","101","4","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Jenkins, Christian F.","Lecture","MWF","10:00 AM - 10:50 AM","LH4","45"
"","Discussion","W","2:10 PM - 3:00 PM","LH2","24"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","688012392","King","Maya","UG","4","FR","DEF1","B","RE","maya.k.king@fakeu.edu"
"2","490744247","Alford","Andres","UG","4","JR","ABC1","F","RE","andres.s.alford@fakeu.edu"
"3","985719931","Brown","Zachary","UG","4","SO","DEF1","A-","RE","zachary.a.brown@fakeu.edu"
"4","653280084","Carr","Valerie","UG","4","JR","O225","B","RE","valerie.j.carr@fakeu.edu"
"5","243729927","Forbes","Mason","UG","4","SR","OT39","C+","RE","mason.l.forbes@fakeu.edu"
"6","260627425","Franklin","Anthony","UG","4","SR","O174","C","RE","anthony.e.franklin@fakeu.edu"
"7","922530888","Hawkins","Andrew","UG","4","SR","O240","C","RE","andrew.a.hawkins@fakeu.edu"
"8","712066117","Stephenson","Ava","UG","4","SR","OT13","C","RE","ava.l.stephenson@fakeu.edu"
"9","185344132","Davis","Mia","UG","4","SR","O248","B","RE","mia.n.davis@fakeu.edu"
"10","850143501","Jones","Isaac","UG","4","SR","OTH8","C","RE","isaac.e.jones@fakeu.edu"
"11","605758359","Hayes","Xavier","UG","4","JR","O268","B-","RE","xavier.e.hayes@fakeu.edu"
"12","962673098","Colon","Joseph","UG","4","SR","OTH8","B","RE","joseph.l.colon@fakeu.edu"
"13","277268405","Leonard","Natalie","UG","4","JR","O201","C","RE","natalie.d.leonard@fakeu.edu"
"14","338722412","Smith","Scarlett","UL","4","UL","O174","A-","RE","scarlett.c.smith1@fakeu.edu"
"15","766243869","Lee","Adrian","UG","4","JR","OTH6","B-","RE","adrian.h.lee@fakeu.edu"
"16","446686774","Edwards","John","UG","4","JR","O181","D","RE","john.r.edwards@fakeu.edu"
"17","792537433","Mcintosh","Mason","UG","4","JR","OT35","C","RE","mason.a.mcintosh@fakeu.edu"
"18","178939967","Gilbert","Grace","UG","4","SO","OT35","C","RE","grace.d.gilbert@fakeu.edu"
"19","958444447","Ramsey","Daisy","UG","4","JR","O174","B","RE","daisy.r.ramsey@fakeu.edu"
"20","829756257","Potter","Lucas","UG","4","JR","OT40","B","RE","lucas.g.potter@fakeu.edu"
"21","240340974","Thomas","Genesis","UG","4","SO","OT20","F","RE","genesis.j.thomas@fakeu.edu"
"22","365588743","Davis","Anthony","UG","4","JR","O174","B-","RE","anthony.o.davis@fakeu.edu"
"23","969365423","Washington","Dylan","UG","4","JR","OTH8","A-","RE","dylan.s.washington@fakeu.edu"
"24","833466071","Brown","Eli","UG","4","SO","O240","A-","RE","eli.j.brown1@fakeu.edu"
"25","190937220","Kelley","Ethan","UG","4","FR","O277","A","RE","ethan.l.kelley@fakeu.edu"
"26","852790699","Dillard","Lucas","UG","4","FR","OT55","C","RE","lucas.m.dillard@fakeu.edu"
"27","391171704","Santiago","Levi","UG","4","FR","O277","A","RE","levi.j.santiago@fakeu.edu"
"28","883931611","Gay","Xavier","UG","4","SO","O240","A-","RE","xavier.d.gay@fakeu.edu"
"29","652814266","Anderson","Aubrey","UG","4","FR","OT35","A","RE","aubrey.e.anderson@fakeu.edu"
"30","243397804","Sloan","Alejandro","UG","4","FR","O238","A-","RE","alejandro.a.sloan@fakeu.edu"
"31","170521907","Johnson","Ava","UG","4","FR","O232","B","RE","ava.l.johnson@fakeu.edu"
"32","684895649","Martin","David","UG","4","FR","OT26","F","RE","david.a.martin1@fakeu.edu"
"33","553184361","Jones","Andres","UG","4","FR","O129","C-","RE","andres.r.jones@fakeu.edu"
"34","134271847","Roberts","Liam","UG","4","FR","O174","A-","RE","liam.s.roberts@fakeu.edu"
"35","248616949","Malone","Alexander","UG","4","FR","OT31","A-","RE","alexander.f.malone@fakeu.edu"
"36","564703738","Nicholson","Ethan","UG","4","SO","O232","B","RE","ethan.j.nicholson@fakeu.edu"
"37","130502024","Jackson","Noah","UG","4","SO","O282","B","RE","noah.g.jackson@fakeu.edu"
"38","620419462","Romero","Andrew","UG","4","SO","OT35","A","RE","andrew.l.romero@fakeu.edu"
"39","552722833","Davis","Angel","UG","4","SO","OT49","B","RE","angel.j.davis@fakeu.edu"
"40","819675167","Martinez","Isaac","UG","4","FR","OT68","A-","RE","isaac.k.martinez@fakeu.edu"
"41","140402284","Clark","Stella","UG","4","SO","O232","B","RE","stella.c.clark@fakeu.edu"
"42","506741844","Duffy","Ryan","UG","4","FR","OT26","A-","RE","ryan.s.duffy@fakeu.edu"
"43","857273198","Bolton","Nathaniel","UG","4","FR","OT61","B","RE","nathaniel.i.bolton@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"32246","201203","ABC","104","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Cobb, Sophie A.","Lecture","MWF","11:00 AM - 11:50 AM","TB2","110"
"","Discussion","M","2:10 PM - 3:00 PM","LH1","90"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","311312034","Hayes","Scarlett","UG","4","SO","DEF2","B-","RE","scarlett.g.hayes@fakeu.edu"
"2","328880695","Stone","Carlos","UG","4","JR","ABC2","B-","RE","carlos.n.stone@fakeu.edu"
"3","228150858","Dixon","Stella","UG","4","SO","ABC1","B","RE","stella.k.dixon@fakeu.edu"
"4","601191753","Harvey","Alexis","UG","4","SO","ABC1","C+","RE","alexis.a.harvey@fakeu.edu"
"5","802533346","Perry","Ximena","UG","4","SO","ABC1","D+","RE","ximena.a.perry@fakeu.edu"
"6","676432393","Henson","Brianna","UG","4","SO","ABC1","C+","RE","brianna.b.henson@fakeu.edu"
"7","810725694","Humphrey","Daniel","UG","4","FR","DEF2","A-","RE","daniel.j.humphrey@fakeu.edu"
"8","466807526","Burns","Dominic","UG","4","FR","ABC2","A","RE","dominic.e.burns@fakeu.edu"
"9","347420342","Palmer","Carlos","UG","4","SO","ABC1","B","RE","carlos.a.palmer@fakeu.edu"
"10","314850495","Rose","Jorge","UG","4","FR","ABC2","C","RE","jorge.r.rose@fakeu.edu"
"11","995879056","Williams","Daniel","UG","4","SO","ABC1","B-","RE","daniel.a.williams1@fakeu.edu"
"12","149105177","Greene","Ava","UG","4","SO","DEF2","B-","RE","ava.y.greene@fakeu.edu"
"13","262627130","Johnson","Daniel","UG","4","SO","ABC1","A+","RE","daniel.a.johnson2@fakeu.edu"
"14","398430255","Wilcox","Nathan","UG","4","FR","ABC1","B-","RE","nathan.j.wilcox@fakeu.edu"
"15","431696707","Bryant","Eduardo","UG","4","SO","DEF2","A+","RE","eduardo.b.bryant@fakeu.edu"
"16","871440528","Barrett","Andrew","UG","4","SO","ABC2","C","RE","andrew.i.barrett@fakeu.edu"
"17","731972286","Ingram","Jorge","UG","4","FR","ABC2","B+","RE","jorge.j.ingram@fakeu.edu"
"18","175251576","Harris","Anthony","UG","4","SO","DEF2","C","RE","anthony.n.harris@fakeu.edu"
"19","357234653","Kennedy","Isaiah","UG","4","FR","ABC2","B+","RE","isaiah.h.kennedy@fakeu.edu"
"20","687428417","Horn","Jessica","UG","4","SO","ABC1","A","RE","jessica.a.horn@fakeu.edu"
"21","215006304","Warren","Nicole","UG","4","SO","DEF2","B-","RE","nicole.g.warren@fakeu.edu"
"22","864611466","Gross","Eduardo","UG","4","FR","ABC2","C","RE","eduardo.j.gross@fakeu.edu"
"23","348368891","Thomas","Alexis","UG","4","SO","ABC2","A-","RE","alexis.d.thomas@fakeu.edu"
"24","168773759","Bennett","Evelyn","UG","4","SO","ABC1","C","RE","evelyn.a.bennett@fakeu.edu"
"25","292862758","Simmons","Thomas","UG","4","FR","ABC2","B-","RE","thomas.r.simmons@fakeu.edu"
"26","922966967","Mccormick","Angelina","UG","4","SO","DEF2","C","RE","angelina.e.mccormick@fakeu.edu"
"27","816341828","Parks","Michael","UG","4","FR","DEF2","C","RE","michael.d.parks@fakeu.edu"
"28","639191367","Wall","Olivia","UG","4","FR","ABC1","A+","RE","olivia.m.wall@fakeu.edu"
"29","790310107","Reyes","Anthony","UG","4","SR","O238","B-","RE","anthony.m.reyes@fakeu.edu"
"30","153675791","Anderson","Bryan","UG","4","FR","O260","B","RE","bryan.l.anderson@fakeu.edu"
"31","302474076","Harrell","Andrew","UG","4","SR","OTH7","B","RE","andrew.j.harrell@fakeu.edu"
"32","111784944","Reeves","Riley","UG","4","SR","O174","A+","RE","riley.j.reeves@fakeu.edu"
"33","172156066","Garcia","Isaac","UG","4","SR","O174","C","RE","isaac.n.garcia@fakeu.edu"
"34","618613602","Watson","Isabella","UG","4","JR","O248","C","RE","isabella.a.watson@fakeu.edu"
"35","295876572","Collier","Charlotte","UG","4","SR","O160","C","RE","charlotte.l.collier@fakeu.edu"
"36","809535492","Williams","Aria","UG","4","JR","O160","C","RE","aria.j.williams2@fakeu.edu"
"37","708144678","Schneider","Tyler","UG","4","SR","DEF1","C","RE","tyler.g.schneider@fakeu.edu"
"38","917479540","Rodriquez","Sophia","UG","4","SR","OTH7","C","RE","sophia.c.rodriquez@fakeu.edu"
"39","599911902","Heath","Daniel","UG","4","SR","OT68","C+","RE","daniel.c.heath@fakeu.edu"
"40","560554664","Doyle","Delilah","UG","4","JR","OT93","C","RE","delilah.n.doyle@fakeu.edu"
"41","293397769","Cherry","Jesus","UG","4","JR","DEF2","B+","RE","jesus.r.cherry@fakeu.edu"
"42","527059623","Jones","Adrian","UG","4","SO","OT35","A","RE","adrian.a.jones@fakeu.edu"
"43","992340394","Mcdaniel","Andrea","UG","4","FR","O223","A-","RE","andrea.a.mcdaniel@fakeu.edu"
"44","143996277","Bennett","Ivan","UG","4","SO","OT13","C+","RE","ivan.v.bennett@fakeu.edu"
"45","218337059","Sutton","Isabella","UG","4","FR","OT26","A+","RE","isabella.m.sutton@fakeu.edu"
"46","210866423","Jackson","Emily","UG","4","FR","OTH8","C-","RE","emily.n.jackson@fakeu.edu"
"47","500975019","Wright","Gavin","UG","4","SO","OT16","A","RE","gavin.a.wright@fakeu.edu"
"48","126247283","Christian","Aubrey","UG","4","FR","O223","B-","RE","aubrey.m.christian@fakeu.edu"
"49","711826640","Perez","Henry","UG","4","JR","O268","B","RE","henry.s.perez@fakeu.edu"
"50","600247117","Stewart","Elizabeth","UG","4","SR","DEF1","B","RE","elizabeth.i.stewart@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"32119","201203","ABC","104","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Cobb, Sophie A.","Lecture","MWF","11:00 AM - 11:50 AM","TB2","110"
"","Discussion","R","12:10 PM - 1:00 PM","LH5","38"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","504555061","Walker","Bella","UG","4","SO","ABC2","A+","RE","bella.b.walker@fakeu.edu"
"2","311206733","Carson","Anthony","UG","4","JR","ABC1","B+","RE","anthony.r.carson@fakeu.edu"
"3","229042594","Landry","Sebastian","UG","4","JR","ABC1","A","RE","sebastian.k.landry@fakeu.edu"
"4","805883413","Robinson","Vincent","UG","4","SO","DEF2","D-","RE","vincent.j.robinson@fakeu.edu"
"5","469954107","Ellis","Thomas","UG","4","SO","ABC2","B","RE","thomas.m.ellis@fakeu.edu"
"6","738169740","Jones","Arianna","UG","4","SO","ABC1","A-","RE","arianna.j.jones@fakeu.edu"
"7","112625964","Snider","Olivia","UG","4","SO","DEF2","C","RE","olivia.a.snider@fakeu.edu"
"8","325230139","Leblanc","Mateo","UG","4","SO","ABC1","C","RE","mateo.k.leblanc@fakeu.edu"
"9","428053996","Norris","Henry","UG","4","FR","ABC2","A+","RE","henry.a.norris@fakeu.edu"
"10","414881399","Rivera","Jonathan","UG","4","SO","ABC1","A+","RE","jonathan.b.rivera@fakeu.edu"
"11","712333187","Moore","Grace","UG","4","SO","ABC1","A+","RE","grace.m.moore@fakeu.edu"
"12","775513622","Hill","Sophia","UG","4","FR","DEF2","A","RE","sophia.c.hill@fakeu.edu"
"13","677191305","Cohen","Jonathan","UG","4","JR","DEF2","B","RE","jonathan.i.cohen@fakeu.edu"
"14","146086423","Kane","Ella","UG","4","FR","ABC2","B-","RE","ella.m.kane@fakeu.edu"
"15","244049147","Mejia","Allison","UG","4","FR","ABC1","A+","RE","allison.s.mejia@fakeu.edu"
"16","731468943","Savage","Harper","UG","4","SO","ABC1","A+","RE","harper.b.savage@fakeu.edu"
"17","105135648","Crawford","Valerie","UG","4","SO","ABC2","A-","RE","valerie.q.crawford@fakeu.edu"
"18","292930109","Hess","Jesus","UG","4","FR","DEF2","B-","RE","jesus.m.hess@fakeu.edu"
"19","323742733","Eaton","Delilah","UG","4","SO","ABC2","C","RE","delilah.e.eaton@fakeu.edu"
"20","450949123","Watson","Jordan","UG","4","SO","ABC1","B","RE","jordan.l.watson@fakeu.edu"
"21","178306693","Mercado","Genesis","UG","4","FR","ABC2","D+","RE","genesis.c.mercado@fakeu.edu"
"22","898111709","Barron","Melanie","UG","4","FR","ABC1","C","RE","melanie.l.barron@fakeu.edu"
